modelo,grado,criterio,n,qwk
gemini-flash,1,Silábica,8,0.7576
gemini-flash,1,Ritmo,8,0.6522
gemini-flash,1,Respiración,8,0.2258
gemini-flash,1,Precisión,8,0.7500
gemini-flash,2,Silábica,8,0.1429
gemini-flash,2,Ritmo,8,0.3750
gemini-flash,2,Respiración,8,0.4545
gemini-flash,2,Precisión,8,0.0204
gemini-flash,3,Silábica,8,0.3333
gemini-flash,3,Ritmo,8,0.5294
gemini-flash,3,Respiración,8,0.5294
gemini-flash,3,Precisión,8,0.5000
gemini-flash,4,Silábica,8,0.4667
gemini-flash,4,Ritmo,8,0.5263
gemini-flash,4,Respiración,8,0.6308
gemini-flash,4,Precisión,8,0.6000
gemini-flash,GLOBAL,Silábica,32,0.6452
gemini-flash,GLOBAL,Ritmo,32,0.7750
gemini-flash,GLOBAL,Respiración,32,0.6895
gemini-flash,GLOBAL,Precisión,32,0.5681
gemini-pro,1,Silábica,8,0.9000
gemini-pro,1,Ritmo,8,0.9167
gemini-pro,1,Respiración,8,0.3636
gemini-pro,1,Precisión,8,0.1892
gemini-pro,2,Silábica,8,0.1111
gemini-pro,2,Ritmo,8,0.6471
gemini-pro,2,Respiración,8,0.6471
gemini-pro,2,Precisión,8,0.3962
gemini-pro,3,Silábica,8,0.7143
gemini-pro,3,Ritmo,8,0.5294
gemini-pro,3,Respiración,8,0.5294
gemini-pro,3,Precisión,8,0.5000
gemini-pro,4,Silábica,8,0.6000
gemini-pro,4,Ritmo,8,0.4762
gemini-pro,4,Respiración,8,0.6552
gemini-pro,4,Precisión,8,0.6667
gemini-pro,GLOBAL,Silábica,32,0.8367
gemini-pro,GLOBAL,Ritmo,32,0.8012
gemini-pro,GLOBAL,Respiración,32,0.7056
gemini-pro,GLOBAL,Precisión,32,0.4625
openai-audio,1,Silábica,8,0.6471
openai-audio,1,Ritmo,8,0.9167
openai-audio,1,Respiración,8,0.5455
openai-audio,1,Precisión,8,0.6774
openai-audio,2,Silábica,8,0.1429
openai-audio,2,Ritmo,8,0.4483
openai-audio,2,Respiración,8,0.5000
openai-audio,2,Precisión,8,0.2558
openai-audio,3,Silábica,8,0.0000
openai-audio,3,Ritmo,8,0.2195
openai-audio,3,Respiración,8,0.0000
openai-audio,3,Precisión,8,0.1000
openai-audio,4,Silábica,8,0.0000
openai-audio,4,Ritmo,8,0.4054
openai-audio,4,Respiración,8,0.5294
openai-audio,4,Precisión,8,0.7857
openai-audio,GLOBAL,Silábica,32,0.4023
openai-audio,GLOBAL,Ritmo,32,0.6571
openai-audio,GLOBAL,Respiración,32,0.5936
openai-audio,GLOBAL,Precisión,32,0.5754
gemini-flash-thinking,1,Silábica,8,0.6250
gemini-flash-thinking,1,Ritmo,8,0.6522
gemini-flash-thinking,1,Respiración,8,0.0000
gemini-flash-thinking,1,Precisión,8,0.3333
gemini-flash-thinking,2,Silábica,8,0.1579
gemini-flash-thinking,2,Ritmo,8,0.4483
gemini-flash-thinking,2,Respiración,8,0.3043
gemini-flash-thinking,2,Precisión,8,0.2131
gemini-flash-thinking,3,Silábica,8,0.7143
gemini-flash-thinking,3,Ritmo,8,0.5294
gemini-flash-thinking,3,Respiración,8,0.5294
gemini-flash-thinking,3,Precisión,8,0.3333
gemini-flash-thinking,4,Silábica,8,0.3846
gemini-flash-thinking,4,Ritmo,8,0.4839
gemini-flash-thinking,4,Respiración,8,0.6308
gemini-flash-thinking,4,Precisión,8,0.0833
gemini-flash-thinking,GLOBAL,Silábica,32,0.6857
gemini-flash-thinking,GLOBAL,Ritmo,32,0.7590
gemini-flash-thinking,GLOBAL,Respiración,32,0.6398
gemini-flash-thinking,GLOBAL,Precisión,32,0.3211
